ncbi_id,reactome_id,reactome_name
2793,R-HSA-392170,ADP signalling through P2Y purinoceptor 12
2793,R-HSA-392451,G beta:gamma signalling through PI3Kgamma
2793,R-HSA-392851,Prostacyclin signalling through prostacyclin receptor
2793,R-HSA-400042,"Adrenaline,noradrenaline inhibits insulin secretion"
2793,R-HSA-4086398,Ca2+ pathway
2793,R-HSA-416476,G alpha (q) signalling events
2793,R-HSA-416482,G alpha (12/13) signalling events
2793,R-HSA-418217,G beta:gamma signalling through PLC beta
2793,R-HSA-418555,G alpha (s) signalling events
2793,R-HSA-418592,ADP signalling through P2Y purinoceptor 1
2793,R-HSA-418594,G alpha (i) signalling events
2793,R-HSA-418597,G alpha (z) signalling events
2793,R-HSA-420092,Glucagon-type ligand receptors
2793,R-HSA-428930,Thromboxane signalling through TP receptor
2793,R-HSA-432040,Vasopressin regulates renal water homeostasis via Aquaporins
2793,R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs)
2793,R-HSA-500657,Presynaptic function of Kainate receptors
2793,R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding
2793,R-HSA-8964315,G beta:gamma signalling through BTK
2793,R-HSA-8964616,G beta:gamma signalling through CDC42
2793,R-HSA-9009391,Extra-nuclear estrogen signaling
2793,R-HSA-9634597,GPER1 signaling
2793,R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production
2793,R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
2793,R-HSA-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits
2796,R-HSA-375281,Hormone ligand-binding receptors
2796,R-HSA-416476,G alpha (q) signalling events
2797,R-HSA-375281,Hormone ligand-binding receptors
2797,R-HSA-416476,G alpha (q) signalling events
2798,R-HSA-375281,Hormone ligand-binding receptors
2798,R-HSA-416476,G alpha (q) signalling events
2799,R-HSA-2022857,Keratan sulfate degradation
2799,R-HSA-2206305,MPS IIID - Sanfilippo syndrome D
2799,R-HSA-432720,Lysosome Vesicle Biogenesis
2799,R-HSA-6798695,Neutrophil degranulation
28,R-HSA-9033807,ABO blood group biosynthesis
280,R-HSA-189085,Digestion of dietary carbohydrate
2800,R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network
2801,R-HSA-162658,Golgi Cisternae Pericentriolar Stack Reorganization
2801,R-HSA-204005,COPII-mediated vesicle transport
2801,R-HSA-6807878,COPI-mediated anterograde transport
2801,R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
2802,R-HSA-9696270,RND2 GTPase cycle
2803,R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network
2803,R-HSA-9673768,Signaling by membrane-tethered fusions of PDGFRA or PDGFRB
2804,R-HSA-432722,Golgi Associated Vesicle Biogenesis
2804,R-HSA-6807878,COPI-mediated anterograde transport
2804,R-HSA-9703465,Signaling by FLT3 fusion proteins
2805,R-HSA-1237112,Methionine salvage pathway
2805,R-HSA-8963693,Aspartate and asparagine metabolism
2805,R-HSA-9856872,Malate-aspartate shuttle
2806,R-HSA-1614558,Degradation of cysteine and homocysteine
2806,R-HSA-389661,Glyoxylate metabolism and glycine degradation
2806,R-HSA-8963693,Aspartate and asparagine metabolism
2806,R-HSA-8964539,Glutamate and glutamine metabolism
2806,R-HSA-9856872,Malate-aspartate shuttle
2810,R-HSA-111447,Activation of BAD and translocation to mitochondria 
2810,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
2810,R-HSA-5625740,RHO GTPases activate PKNs
2810,R-HSA-5628897,TP53 Regulates Metabolic Genes
2810,R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
2810,R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
2810,R-HSA-9614399,Regulation of localization of FOXO transcription factors
2810,R-HSA-9735871,SARS-CoV-1 targets host intracellular signalling and regulatory pathways
2810,R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways
2810,R-HSA-9968551,Regulation of GBP-mediated host defense
2811,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation
2811,R-HSA-430116,GP1b-IX-V activation signalling
2811,R-HSA-75892,Platelet Adhesion to exposed collagen
2811,R-HSA-76009,Platelet Aggregation (Plug Formation)
2811,R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function
2811,R-HSA-9673221,Defective F9 activation
2811,R-HSA-9845620,Enhanced binding of GP1BA variant to VWF multimer:collagen 
2811,R-HSA-9846298,Defective binding of VWF variant to GPIb:IX:V
2812,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation
2812,R-HSA-430116,GP1b-IX-V activation signalling
2812,R-HSA-75892,Platelet Adhesion to exposed collagen
2812,R-HSA-76009,Platelet Aggregation (Plug Formation)
2812,R-HSA-9673221,Defective F9 activation
2812,R-HSA-9845620,Enhanced binding of GP1BA variant to VWF multimer:collagen 
2812,R-HSA-9846298,Defective binding of VWF variant to GPIb:IX:V
2813,R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins
2813,R-HSA-9925561,Developmental Lineage of Pancreatic Acinar Cells
2814,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation
2814,R-HSA-430116,GP1b-IX-V activation signalling
2814,R-HSA-75892,Platelet Adhesion to exposed collagen
2814,R-HSA-76009,Platelet Aggregation (Plug Formation)
2814,R-HSA-9673221,Defective F9 activation
2814,R-HSA-9845620,Enhanced binding of GP1BA variant to VWF multimer:collagen 
2814,R-HSA-9846298,Defective binding of VWF variant to GPIb:IX:V
2815,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation
2815,R-HSA-430116,GP1b-IX-V activation signalling
2815,R-HSA-75892,Platelet Adhesion to exposed collagen
2815,R-HSA-76009,Platelet Aggregation (Plug Formation)
2815,R-HSA-9673221,Defective F9 activation
2815,R-HSA-9845620,Enhanced binding of GP1BA variant to VWF multimer:collagen 
2815,R-HSA-9846298,Defective binding of VWF variant to GPIb:IX:V
2817,R-HSA-1971475,Glycosaminoglycan-protein linkage region biosynthesis
2817,R-HSA-2022928,HS-GAG biosynthesis
2817,R-HSA-2024096,HS-GAG degradation
2817,R-HSA-202733,Cell surface interactions at the vascular wall
2817,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type"
2817,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD
2817,R-HSA-3656237,Defective EXT2 causes exostoses 2
2817,R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"
2817,R-HSA-376176,Signaling by ROBO receptors
2817,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1
2817,R-HSA-9694614,Attachment and Entry
2817,R-HSA-975634,Retinoid metabolism and transport
2817,R-HSA-9820960,Respiratory syncytial virus (RSV) attachment and entry
2817,R-HSA-9833110,RSV-host interactions
2817,R-HSA-9918481,Dengue Virus-Host Interactions
2817,R-HSA-9918485,Dengue Virus Attachment and Entry
2819,R-HSA-1483166,Synthesis of PA
2820,R-HSA-1483166,Synthesis of PA
2820,R-HSA-163560,Triglyceride catabolism
2821,R-HSA-5628897,TP53 Regulates Metabolic Genes
2821,R-HSA-6798695,Neutrophil degranulation
2821,R-HSA-70171,Glycolysis
2821,R-HSA-70263,Gluconeogenesis
2822,R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins
28227,R-HSA-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1
28227,R-HSA-69231,Cyclin D associated events in G1
28227,R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition
28231,R-HSA-879518,Organic anion transport by SLCO transporters
28232,R-HSA-879518,Organic anion transport by SLCO transporters
28234,R-HSA-159418,Recycling of bile acids and salts
28234,R-HSA-189483,Heme degradation
28234,R-HSA-5619058,"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)"
28234,R-HSA-879518,Organic anion transport by SLCO transporters
28234,R-HSA-9754706,Atorvastatin ADME
2826,R-HSA-380108,Chemokine receptors bind chemokines
2826,R-HSA-418594,G alpha (i) signalling events
282616,R-HSA-8854691,Interleukin-20 family signaling
282617,R-HSA-8854691,Interleukin-20 family signaling
282618,R-HSA-449836,Other interleukin signaling
282618,R-HSA-8854691,Interleukin-20 family signaling
282679,R-HSA-432047,Passive transport by Aquaporins
282763,R-HSA-381753,Olfactory Signaling Pathway
282763,R-HSA-9752946,Expression and translocation of olfactory receptors
282770,R-HSA-9752946,Expression and translocation of olfactory receptors
282775,R-HSA-9752946,Expression and translocation of olfactory receptors
2828,R-HSA-373076,Class A/1 (Rhodopsin-like receptors)
2828,R-HSA-416476,G alpha (q) signalling events
282890,R-HSA-212436,Generic Transcription Pathway
2829,R-HSA-380108,Chemokine receptors bind chemokines
2829,R-HSA-416476,G alpha (q) signalling events
282969,R-HSA-6787639,GDP-fucose biosynthesis
283,R-HSA-418990,Adherens junctions interactions
283,R-HSA-9708296,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis"
283092,R-HSA-9752946,Expression and translocation of olfactory receptors
283093,R-HSA-381753,Olfactory Signaling Pathway
283093,R-HSA-9752946,Expression and translocation of olfactory receptors
2831,R-HSA-375276,Peptide ligand-binding receptors
2831,R-HSA-418594,G alpha (i) signalling events
283106,R-HSA-9768727,Regulation of CDH1 posttranslational processing and trafficking to plasma membrane
283111,R-HSA-9752946,Expression and translocation of olfactory receptors
283149,R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex
283149,R-HSA-3769402,Deactivation of the beta-catenin transactivating complex
283159,R-HSA-381753,Olfactory Signaling Pathway
283159,R-HSA-9752946,Expression and translocation of olfactory receptors
283160,R-HSA-9752946,Expression and translocation of olfactory receptors
283162,R-HSA-9752946,Expression and translocation of olfactory receptors
283189,R-HSA-9752946,Expression and translocation of olfactory receptors
2832,R-HSA-375276,Peptide ligand-binding receptors
2832,R-HSA-418594,G alpha (i) signalling events
283208,R-HSA-1650814,Collagen biosynthesis and modifying enzymes
283208,R-HSA-9918432,Maturation of DENV proteins
283209,R-HSA-70171,Glycolysis
283297,R-HSA-9752946,Expression and translocation of olfactory receptors
2833,R-HSA-380108,Chemokine receptors bind chemokines
2833,R-HSA-418594,G alpha (i) signalling events
2833,R-HSA-9942503,Differentiation of naive CD+ T cells to T helper 1 cells (Th1 cells)
283310,R-HSA-9662361,Sensory processing of sound by outer hair cells of the cochlea
283337,R-HSA-212436,Generic Transcription Pathway
283365,R-HSA-9752946,Expression and translocation of olfactory receptors
283375,R-HSA-442380,Zinc influx into cells by the SLC39 gene family
2834,R-HSA-375276,Peptide ligand-binding receptors
283455,R-HSA-5674135,MAP2K and MAPK activation
283455,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants
283455,R-HSA-6802948,Signaling by high-kinase activity BRAF mutants
283455,R-HSA-6802952,Signaling by BRAF and RAF1 fusions
283455,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF
283455,R-HSA-9649948,Signaling downstream of RAS mutants
283455,R-HSA-9656223,Signaling by RAF1 mutants
283463,R-HSA-5083625,Defective GALNT3 causes HFTC
283463,R-HSA-5083632,Defective C1GALT1C1 causes TNPS
283463,R-HSA-5083636,Defective GALNT12 causes CRCS1
283463,R-HSA-5621480,Dectin-2 family
283463,R-HSA-913709,O-linked glycosylation of mucins
283463,R-HSA-977068,Termination of O-glycan biosynthesis
283617,R-HSA-9752946,Expression and translocation of olfactory receptors
283652,R-HSA-425561,Sodium/Calcium exchangers
283652,R-HSA-5619036,Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)
283694,R-HSA-9752946,Expression and translocation of olfactory receptors
2837,R-HSA-375276,Peptide ligand-binding receptors
2837,R-HSA-416476,G alpha (q) signalling events
283742,R-HSA-6784531,tRNA processing in the nucleus
283748,R-HSA-1482788,Acyl chain remodelling of PC
283748,R-HSA-1482801,Acyl chain remodelling of PS
283748,R-HSA-1482839,Acyl chain remodelling of PE
283748,R-HSA-1482922,Acyl chain remodelling of PI
283748,R-HSA-1482925,Acyl chain remodelling of PG
283748,R-HSA-1483115,Hydrolysis of LPC
283748,R-HSA-1483166,Synthesis of PA
2838,R-HSA-418555,G alpha (s) signalling events
283807,R-HSA-8951664,Neddylation
283807,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation
283869,R-HSA-375276,Peptide ligand-binding receptors
283869,R-HSA-418594,G alpha (i) signalling events
283871,R-HSA-1483206,Glycerophospholipid biosynthesis
283899,R-HSA-5689603,UCH proteinases
283899,R-HSA-5696394,DNA Damage Recognition in GG-NER
283927,R-HSA-390918,Peroxisomal lipid metabolism
283927,R-HSA-9033241,Peroxisomal protein import
283989,R-HSA-6784531,tRNA processing in the nucleus
284,R-HSA-210993,Tie2 Signaling
284,R-HSA-5673001,RAF/MAP kinase cascade
2840,R-HSA-391906,Leukotriene receptors
2840,R-HSA-416476,G alpha (q) signalling events
2840,R-HSA-417957,P2Y receptors
2840,R-HSA-418594,G alpha (i) signalling events
284058,R-HSA-3214847,HATs acetylate histones
284058,R-HSA-9772755,Formation of WDR5-containing histone-modifying complexes
284076,R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin
284098,R-HSA-162710,Synthesis of glycosylphosphatidylinositol (GPI)
2841,R-HSA-373076,Class A/1 (Rhodopsin-like receptors)
2841,R-HSA-418594,G alpha (i) signalling events
284111,R-HSA-9955298,SLC-mediated transport of organic anions
284119,R-HSA-73863,RNA Polymerase I Transcription Termination
284119,R-HSA-8980692,RHOA GTPase cycle
284119,R-HSA-9013026,RHOB GTPase cycle
284119,R-HSA-9013106,RHOC GTPase cycle
284129,R-HSA-174362,Transport and metabolism of PAPS
284129,R-HSA-427601,Inorganic anion exchange by SLC26 transporters
284161,R-HSA-6814848,Glycerophospholipid catabolism
284184,R-HSA-6799198,Complex I biogenesis
284217,R-HSA-3000157,Laminin interactions
284217,R-HSA-3000171,Non-integrin membrane-ECM interactions
284217,R-HSA-3000178,ECM proteoglycans
284217,R-HSA-373760,L1CAM interactions
284217,R-HSA-8874081,MET activates PTK2 signaling
284217,R-HSA-9638630,Attachment of bacteria to epithelial cells
284217,R-HSA-9913351,Formation of the dystrophin-glycoprotein complex (DGC)
284217,R-HSA-9925563,Developmental Lineage of Pancreatic Ductal Cells
284252,R-HSA-8866904,Negative regulation of activity of TFAP2 (AP-2) family transcription factors
284266,R-HSA-2172127,DAP12 interactions
284297,R-HSA-3000471,Scavenging by Class B Receptors
2843,R-HSA-418555,G alpha (s) signalling events
284306,R-HSA-212436,Generic Transcription Pathway
284306,R-HSA-9843940,Regulation of endogenous retroelements by KRAB-ZFP proteins
284307,R-HSA-212436,Generic Transcription Pathway
284309,R-HSA-212436,Generic Transcription Pathway
284348,R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins
284355,R-HSA-9819196,Zygotic genome activation (ZGA)
284359,R-HSA-1300645,Acrosome Reaction and Sperm:Oocyte Membrane Binding
284370,R-HSA-212436,Generic Transcription Pathway
284383,R-HSA-9752946,Expression and translocation of olfactory receptors
284433,R-HSA-381753,Olfactory Signaling Pathway
284433,R-HSA-9752946,Expression and translocation of olfactory receptors
284439,R-HSA-199220,Vitamin B5 (pantothenate) metabolism
284443,R-HSA-212436,Generic Transcription Pathway
284459,R-HSA-212436,Generic Transcription Pathway
284486,R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation
284521,R-HSA-381753,Olfactory Signaling Pathway
284521,R-HSA-9752946,Expression and translocation of olfactory receptors
284525,R-HSA-2672351,Stimuli-sensing channels
284532,R-HSA-9752946,Expression and translocation of olfactory receptors
284541,R-HSA-211935,Fatty acids
284541,R-HSA-211958,Miscellaneous substrates
284541,R-HSA-211979,Eicosanoids
284541,R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX)
2846,R-HSA-416476,G alpha (q) signalling events
2846,R-HSA-417957,P2Y receptors
284654,R-HSA-4641263,Regulation of FZD by ubiquitination
284656,R-HSA-2682334,EPH-Ephrin signaling
284656,R-HSA-3928663,EPHA-mediated growth cone collapse
284656,R-HSA-3928665,EPH-ephrin mediated repulsion of cells
2847,R-HSA-375276,Peptide ligand-binding receptors
2847,R-HSA-416476,G alpha (q) signalling events
2847,R-HSA-418594,G alpha (i) signalling events
2847,R-HSA-5620922,BBSome-mediated cargo-targeting to cilium
284716,R-HSA-8964539,Glutamate and glutamine metabolism
2848,R-HSA-418555,G alpha (s) signalling events
284827,R-HSA-6805567,Keratinization
285,R-HSA-210993,Tie2 Signaling
2850,R-HSA-418555,G alpha (s) signalling events
285016,R-HSA-201556,Signaling by ALK
285016,R-HSA-9842663,Signaling by LTK
285051,R-HSA-9821002,Chromatin modifications during the maternal to zygotic transition (MZT)
28511,R-HSA-1810476,RIP-mediated NFkB activation via ZBP1
28511,R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  
28511,R-HSA-933542,TRAF6 mediated NF-kB activation
28512,R-HSA-1810476,RIP-mediated NFkB activation via ZBP1
28512,R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  
28512,R-HSA-933542,TRAF6 mediated NF-kB activation
28513,R-HSA-9764302,Regulation of CDH19 Expression and Function
28514,R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus
28514,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants
28514,R-HSA-2660826,Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant
28514,R-HSA-2691232,Constitutive Signaling by NOTCH1 HD Domain Mutants
28514,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
28514,R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus
28514,R-HSA-9013507,NOTCH3 Activation and Transmission of Signal to the Nucleus
28514,R-HSA-9022702,MECP2 regulates transcription of neuronal ligands
28514,R-HSA-9725554,Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin
28514,R-HSA-9793380,Formation of paraxial mesoderm
28514,R-HSA-9824272,Somitogenesis
28514,R-HSA-9831926,Nephron development
285175,R-HSA-2672351,Stimuli-sensing channels
285195,R-HSA-425986,Sodium/Proton exchangers
285195,R-HSA-5619052,Defective SLC9A9 causes autism 16 (AUTS16)
2852,R-HSA-375276,Peptide ligand-binding receptors
2852,R-HSA-418594,G alpha (i) signalling events
2852,R-HSA-9634597,GPER1 signaling
285220,R-HSA-2682334,EPH-Ephrin signaling
285220,R-HSA-3928663,EPHA-mediated growth cone collapse
285220,R-HSA-3928665,EPH-ephrin mediated repulsion of cells
285231,R-HSA-8951664,Neddylation
285231,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation
285242,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission
285267,R-HSA-212436,Generic Transcription Pathway
285268,R-HSA-212436,Generic Transcription Pathway
2853,R-HSA-418594,G alpha (i) signalling events
2853,R-HSA-444209,Free fatty acid receptors
285335,R-HSA-2672351,Stimuli-sensing channels
285349,R-HSA-212436,Generic Transcription Pathway
285362,R-HSA-1663150,The activation of arylsulfatases
285362,R-HSA-9840310,Glycosphingolipid catabolism
285367,R-HSA-6793080,rRNA modification in the mitochondrion
285367,R-HSA-9937008,Mitochondrial mRNA modification
285381,R-HSA-5358493,Synthesis of diphthamide-EEF2
2854,R-HSA-418555,G alpha (s) signalling events
285440,R-HSA-211976,Endogenous sterols
285440,R-HSA-2453902,The canonical retinoid cycle in rods (twilight vision)
285521,R-HSA-9864848,Complex IV assembly
285601,R-HSA-418555,G alpha (s) signalling events
285643,R-HSA-2132295,MHC class II antigen presentation
285643,R-HSA-437239,Recycling pathway of L1
285643,R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic
285643,R-HSA-983189,Kinesins
285659,R-HSA-9752946,Expression and translocation of olfactory receptors
285676,R-HSA-212436,Generic Transcription Pathway
285676,R-HSA-9843940,Regulation of endogenous retroelements by KRAB-ZFP proteins
285704,R-HSA-373752,Netrin-1 signaling
285755,R-HSA-9918481,Dengue Virus-Host Interactions
285852,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
2859,R-HSA-373076,Class A/1 (Rhodopsin-like receptors)
285971,R-HSA-212436,Generic Transcription Pathway
285973,R-HSA-1632852,Macroautophagy
286,R-HSA-445095,Interaction between L1 and Ankyrins
286,R-HSA-447038,NrCAM interactions
286,R-HSA-447041,CHL1 interactions
286,R-HSA-447043,Neurofascin interactions
286,R-HSA-6807878,COPI-mediated anterograde transport
286053,R-HSA-3108214,SUMOylation of DNA damage response and repair proteins
286075,R-HSA-212436,Generic Transcription Pathway
286097,R-HSA-8949215,Mitochondrial calcium ion transport
286097,R-HSA-8949664,Processing of SMDT1
2861,R-HSA-375276,Peptide ligand-binding receptors
2861,R-HSA-418594,G alpha (i) signalling events
286133,R-HSA-3000480,Scavenging by Class A Receptors
2862,R-HSA-375276,Peptide ligand-binding receptors
2862,R-HSA-416476,G alpha (q) signalling events
286205,R-HSA-5663220,RHO GTPases Activate Formins
286256,R-HSA-804914,Transport of fatty acids
286262,R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea
286262,R-HSA-9662361,Sensory processing of sound by outer hair cells of the cochlea
2863,R-HSA-373076,Class A/1 (Rhodopsin-like receptors)
2863,R-HSA-416476,G alpha (q) signalling events
2863,R-HSA-418555,G alpha (s) signalling events
286362,R-HSA-9752946,Expression and translocation of olfactory receptors
286365,R-HSA-9752946,Expression and translocation of olfactory receptors
2864,R-HSA-381771,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"
2864,R-HSA-400511,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
2864,R-HSA-416476,G alpha (q) signalling events
2864,R-HSA-434316,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion
2864,R-HSA-444209,Free fatty acid receptors
286410,R-HSA-936837,Ion transport by P-type ATPases
286451,R-HSA-432722,Golgi Associated Vesicle Biogenesis
2865,R-HSA-416476,G alpha (q) signalling events
2865,R-HSA-444209,Free fatty acid receptors
2867,R-HSA-416476,G alpha (q) signalling events
2867,R-HSA-444209,Free fatty acid receptors
286749,R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis
286749,R-HSA-8856828,Clathrin-mediated endocytosis
2868,R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade"
286826,R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex
286826,R-HSA-1362300,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1
286826,R-HSA-1538133,G0 and Early G1
286826,R-HSA-156711,Polo-like kinase mediated events
286826,R-HSA-69202,Cyclin E associated events during G1/S transition 
286826,R-HSA-69205,G1/S-Specific Transcription
286826,R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry
286887,R-HSA-6805567,Keratinization
286887,R-HSA-6809371,Formation of the cornified envelope
2869,R-HSA-416476,G alpha (q) signalling events
2869,R-HSA-418555,G alpha (s) signalling events
287,R-HSA-445095,Interaction between L1 and Ankyrins
287,R-HSA-6807878,COPI-mediated anterograde transport
2870,R-HSA-418555,G alpha (s) signalling events
2873,R-HSA-5696394,DNA Damage Recognition in GG-NER
2873,R-HSA-6781823,Formation of TC-NER Pre-Incision Complex
2873,R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis
2873,R-HSA-8951664,Neddylation
2873,R-HSA-9013422,RHOBTB1 GTPase cycle
2874,R-HSA-1989781,PPARA activates gene expression
2874,R-HSA-3214815,HDACs deacetylate histones
2874,R-HSA-9022537,Loss of MECP2 binding ability to the NCoR/SMRT complex
2874,R-HSA-9022692,Regulation of MECP2 expression and activity
2874,R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
2874,R-HSA-9609690,HCMV Early Events
2874,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
2875,R-HSA-70268,Pyruvate metabolism
2875,R-HSA-8964540,Alanine metabolism
2876,R-HSA-2142688,Synthesis of 5-eicosatetraenoic acids
2876,R-HSA-2142712,Synthesis of 12-eicosatetraenoic acid derivatives
2876,R-HSA-2142770,Synthesis of 15-eicosatetraenoic acid derivatives
2876,R-HSA-3299685,Detoxification of Reactive Oxygen Species
2877,R-HSA-2142688,Synthesis of 5-eicosatetraenoic acids
2877,R-HSA-2142712,Synthesis of 12-eicosatetraenoic acid derivatives
2877,R-HSA-2142770,Synthesis of 15-eicosatetraenoic acid derivatives
2877,R-HSA-3299685,Detoxification of Reactive Oxygen Species
2877,R-HSA-5628897,TP53 Regulates Metabolic Genes
2878,R-HSA-3299685,Detoxification of Reactive Oxygen Species
2879,R-HSA-2142688,Synthesis of 5-eicosatetraenoic acids
2879,R-HSA-2142712,Synthesis of 12-eicosatetraenoic acid derivatives
2879,R-HSA-2142770,Synthesis of 15-eicosatetraenoic acid derivatives
2879,R-HSA-9018676,Biosynthesis of D-series resolvins
2879,R-HSA-9018896,Biosynthesis of E-series 18(S)-resolvins
2879,R-HSA-9020265,Biosynthesis of aspirin-triggered D-series resolvins
2879,R-HSA-9023661,Biosynthesis of E-series 18(R)-resolvins
288,R-HSA-445095,Interaction between L1 and Ankyrins
288,R-HSA-6807878,COPI-mediated anterograde transport
288,R-HSA-9768727,Regulation of CDH1 posttranslational processing and trafficking to plasma membrane
2880,R-HSA-3299685,Detoxification of Reactive Oxygen Species
2882,R-HSA-3299685,Detoxification of Reactive Oxygen Species
2885,R-HSA-109704,PI3K Cascade
2885,R-HSA-112412,SOS-mediated signalling
2885,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
2885,R-HSA-1250196,SHC1 events in ERBB2 signaling
2885,R-HSA-1250347,SHC1 events in ERBB4 signaling
2885,R-HSA-1257604,PIP3 activates AKT signaling
2885,R-HSA-1295596,Spry regulation of FGF signaling
2885,R-HSA-1433557,Signaling by SCF-KIT
2885,R-HSA-1433559,Regulation of KIT signaling
2885,R-HSA-167044,Signalling to RAS
2885,R-HSA-179812,GRB2 events in EGFR signaling
2885,R-HSA-180292,GAB1 signalosome
2885,R-HSA-180336,SHC1 events in EGFR signaling
2885,R-HSA-182971,EGFR downregulation
2885,R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants
2885,R-HSA-186763,Downstream signal transduction
2885,R-HSA-1963640,GRB2 events in ERBB2 signaling
2885,R-HSA-1963642,PI3K events in ERBB2 signaling
2885,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
2885,R-HSA-210993,Tie2 Signaling
2885,R-HSA-2179392,EGFR Transactivation by Gastrin
2885,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
2885,R-HSA-2424491,DAP12 signaling
2885,R-HSA-2428933,SHC-related events triggered by IGF1R
2885,R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization
2885,R-HSA-2871796,FCERI mediated MAPK activation
2885,R-HSA-2871809,FCERI mediated Ca+2 mobilization
2885,R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins 
2885,R-HSA-375165,NCAM signaling for neurite out-growth
2885,R-HSA-389359,CD28 dependent Vav1 pathway
2885,R-HSA-391160,Signal regulatory protein family interactions
2885,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling"
2885,R-HSA-5637810,Constitutive Signaling by EGFRvIII
2885,R-HSA-5654688,SHC-mediated cascade:FGFR1
2885,R-HSA-5654689,PI-3K cascade:FGFR1
2885,R-HSA-5654693,FRS-mediated FGFR1 signaling
2885,R-HSA-5654695,PI-3K cascade:FGFR2
