ncbi_id,reactome_id,reactome_name
100133941,R-HSA-9927418,Developmental Lineage of Mammary Gland Luminal Epithelial Cells
100133941,R-HSA-9927426,Developmental Lineage of Mammary Gland Alveolar Cells
100134934,R-HSA-174411,Polymerase switching on the C-strand of the telomere
100134934,R-HSA-174430,Telomere C-strand synthesis initiation
100137047,R-HSA-9629569,Protein hydroxylation
100137049,R-HSA-1482788,Acyl chain remodelling of PC
100137049,R-HSA-1482801,Acyl chain remodelling of PS
100137049,R-HSA-1482839,Acyl chain remodelling of PE
100137049,R-HSA-1482925,Acyl chain remodelling of PG
100137049,R-HSA-1483115,Hydrolysis of LPC
100137049,R-HSA-1483166,Synthesis of PA
100137049,R-HSA-381038,XBP1(S) activates chaperone genes
10014,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription
10014,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants
10014,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
10014,R-HSA-350054,Notch-HLH transcription pathway
10014,R-HSA-8943724,Regulation of PTEN gene transcription
100170841,R-HSA-212300,PRC2 methylates histones and DNA
10018,R-HSA-111446,Activation of BIM and translocation to mitochondria 
10018,R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
10018,R-HSA-193648,NRAGE signals death through JNK
10018,R-HSA-6802952,Signaling by BRAF and RAF1 fusions
10018,R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
10018,R-HSA-8952158,RUNX3 regulates BCL2L11 (BIM) transcription
10018,R-HSA-9607240,FLT3 Signaling
10018,R-HSA-9614657,FOXO-mediated transcription of cell death genes
100188893,R-HSA-1268020,Mitochondrial protein import
100188893,R-HSA-5205685,PINK1-PRKN Mediated Mitophagy
10019,R-HSA-1433559,Regulation of KIT signaling
10019,R-HSA-9706369,Negative regulation of FLT3
10019,R-HSA-983231,Factors involved in megakaryocyte development and platelet production
1002,R-HSA-418990,Adherens junctions interactions
1002,R-HSA-525793,Myogenesis
10020,R-HSA-4085001,Sialic acid metabolism
10020,R-HSA-4085011,"Defective GNE causes sialuria, NK and IBM2"
10021,R-HSA-1296061,HCN channels
10022,R-HSA-418594,G alpha (i) signalling events
10022,R-HSA-444821,Relaxin receptors
10023,R-HSA-196299,Beta-catenin phosphorylation cascade
10023,R-HSA-4641262,Disassembly of the destruction complex and recruitment of AXIN to the membrane
10025,R-HSA-1989781,PPARA activates gene expression
10025,R-HSA-212436,Generic Transcription Pathway
10025,R-HSA-381340,Transcriptional regulation of white adipocyte differentiation
10025,R-HSA-9833110,RSV-host interactions
10025,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
10026,R-HSA-162791,Attachment of GPI anchor to uPAR
100271715,R-HSA-193648,NRAGE signals death through JNK
100271715,R-HSA-416482,G alpha (12/13) signalling events
100271849,R-HSA-525793,Myogenesis
100272147,R-HSA-1268020,Mitochondrial protein import
100287144,R-HSA-5689880,Ub-specific processing proteases
100287178,R-HSA-5689880,Ub-specific processing proteases
100287205,R-HSA-5689880,Ub-specific processing proteases
100287226,R-HSA-212436,Generic Transcription Pathway
100287238,R-HSA-5689880,Ub-specific processing proteases
100287327,R-HSA-5689880,Ub-specific processing proteases
100287364,R-HSA-5689880,Ub-specific processing proteases
100287404,R-HSA-5689880,Ub-specific processing proteases
100287441,R-HSA-5689880,Ub-specific processing proteases
100287478,R-HSA-5689880,Ub-specific processing proteases
100287513,R-HSA-5689880,Ub-specific processing proteases
100287932,R-HSA-1268020,Mitochondrial protein import
100288323,R-HSA-6805567,Keratinization
100288520,R-HSA-5689880,Ub-specific processing proteases
100288687,R-HSA-9819196,Zygotic genome activation (ZGA)
100289462,R-HSA-1461957,Beta defensins
100289462,R-HSA-1461973,Defensins
100289635,R-HSA-212436,Generic Transcription Pathway
